figure,item,plotted,recomputed,match,note
fig1 cell24,403.tiff/chromatin_od/K=30,-0.13,-0.13,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,403.tiff/chromatin_od/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,403.tiff/chromatin_od/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,403.tiff/chromatin_od/K=50,-0.08,-0.08,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,403.tiff/chromatin_od/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,403.tiff/chromatin_od/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,403.tiff/od_contrast/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,403.tiff/od_contrast/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,403.tiff/od_contrast/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,403.tiff/od_contrast/K=20,-0.15,-0.15,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,403.tiff/od_contrast/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,403.tiff/od_contrast/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,403.tiff/od_contrast/K=30,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,403.tiff/od_contrast/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,403.tiff/od_contrast/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,403.tiff/od_contrast/K=50,-0.12,-0.12,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,403.tiff/od_contrast/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,403.tiff/od_contrast/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig2 cell25,shared y limit (delta_lim),0.10000000000000003,0.10000000000000003,True,"set_ylim(-delta_lim, delta_lim) on every panel"
fig2 cell25,bars sitting exactly on the y limit,7,7,True,canine lung cancer/tm_score/K=10=+0.100;canine soft tissue sarcoma/od_contrast/K=10=-0.100;canine soft tissue sarcoma/tm_score/K=10=-0.100;human melanoma/tm_score/K=10=-0.100;human neuroendocrine tumor/chromatin_od/K=20=-0.100;human neuroendocrine tumor/tm_score/K=10=-0.100;human neuroendocrine tumor/tm_score/K=20=-0.100
fig2 cell25,canine cutaneous mast cell tumor/chromatin_od/K=10,-0.05,-0.05,True,bar height
fig2 cell25,canine cutaneous mast cell tumor/chromatin_od/K=20,-0.075,-0.075,True,bar height
fig2 cell25,canine cutaneous mast cell tumor/chromatin_od/K=30,-0.0167,-0.0167,True,bar height
fig2 cell25,canine cutaneous mast cell tumor/chromatin_od/K=50,-0.06,-0.06,True,bar height
fig2 cell25,canine cutaneous mast cell tumor/od_contrast/K=10,-0.05,-0.05,True,bar height
fig2 cell25,canine cutaneous mast cell tumor/od_contrast/K=20,-0.075,-0.075,True,bar height
fig2 cell25,canine cutaneous mast cell tumor/od_contrast/K=30,-0.0667,-0.0667,True,bar height
fig2 cell25,canine cutaneous mast cell tumor/od_contrast/K=50,-0.05,-0.05,True,bar height
fig2 cell25,canine cutaneous mast cell tumor/tm_score/K=10,0.05,0.05,True,bar height
fig2 cell25,canine cutaneous mast cell tumor/tm_score/K=20,-0.025,-0.025,True,bar height
fig2 cell25,canine cutaneous mast cell tumor/tm_score/K=30,0.0,0.0,True,bar height
fig2 cell25,canine cutaneous mast cell tumor/tm_score/K=50,-0.05,-0.05,True,bar height
fig2 cell25,canine lung cancer/chromatin_od/K=10,-0.05,-0.05,True,bar height
fig2 cell25,canine lung cancer/chromatin_od/K=20,-0.075,-0.075,True,bar height
fig2 cell25,canine lung cancer/chromatin_od/K=30,-0.05,-0.05,True,bar height
fig2 cell25,canine lung cancer/chromatin_od/K=50,-0.05,-0.05,True,bar height
fig2 cell25,canine lung cancer/od_contrast/K=10,-0.05,-0.05,True,bar height
fig2 cell25,canine lung cancer/od_contrast/K=20,-0.05,-0.05,True,bar height
fig2 cell25,canine lung cancer/od_contrast/K=30,-0.05,-0.05,True,bar height
fig2 cell25,canine lung cancer/od_contrast/K=50,-0.03,-0.03,True,bar height
fig2 cell25,canine lung cancer/tm_score/K=10,0.1,0.1,True,bar height
fig2 cell25,canine lung cancer/tm_score/K=20,0.025,0.025,True,bar height
fig2 cell25,canine lung cancer/tm_score/K=30,-0.0333,-0.0333,True,bar height
fig2 cell25,canine lung cancer/tm_score/K=50,-0.06,-0.06,True,bar height
fig2 cell25,canine lymphosarcoma/chromatin_od/K=10,0.0,0.0,True,bar height
fig2 cell25,canine lymphosarcoma/chromatin_od/K=20,0.0,0.0,True,bar height
fig2 cell25,canine lymphosarcoma/chromatin_od/K=30,-0.0167,-0.0167,True,bar height
fig2 cell25,canine lymphosarcoma/chromatin_od/K=50,0.0,0.0,True,bar height
fig2 cell25,canine lymphosarcoma/od_contrast/K=10,0.0,0.0,True,bar height
fig2 cell25,canine lymphosarcoma/od_contrast/K=20,-0.025,-0.025,True,bar height
fig2 cell25,canine lymphosarcoma/od_contrast/K=30,-0.05,-0.05,True,bar height
fig2 cell25,canine lymphosarcoma/od_contrast/K=50,-0.02,-0.02,True,bar height
fig2 cell25,canine lymphosarcoma/tm_score/K=10,0.0,0.0,True,bar height
fig2 cell25,canine lymphosarcoma/tm_score/K=20,0.025,0.025,True,bar height
fig2 cell25,canine lymphosarcoma/tm_score/K=30,-0.0333,-0.0333,True,bar height
fig2 cell25,canine lymphosarcoma/tm_score/K=50,-0.03,-0.03,True,bar height
fig2 cell25,canine soft tissue sarcoma/chromatin_od/K=10,0.0,0.0,True,bar height
fig2 cell25,canine soft tissue sarcoma/chromatin_od/K=20,-0.05,-0.05,True,bar height
fig2 cell25,canine soft tissue sarcoma/chromatin_od/K=30,-0.0333,-0.0333,True,bar height
fig2 cell25,canine soft tissue sarcoma/chromatin_od/K=50,-0.08,-0.08,True,bar height
fig2 cell25,canine soft tissue sarcoma/od_contrast/K=10,-0.1,-0.1,True,bar height
fig2 cell25,canine soft tissue sarcoma/od_contrast/K=20,-0.05,-0.05,True,bar height
fig2 cell25,canine soft tissue sarcoma/od_contrast/K=30,-0.0334,-0.0334,True,bar height
fig2 cell25,canine soft tissue sarcoma/od_contrast/K=50,-0.06,-0.06,True,bar height
fig2 cell25,canine soft tissue sarcoma/tm_score/K=10,-0.1,-0.1,True,bar height
fig2 cell25,canine soft tissue sarcoma/tm_score/K=20,-0.075,-0.075,True,bar height
fig2 cell25,canine soft tissue sarcoma/tm_score/K=30,-0.0834,-0.0834,True,bar height
fig2 cell25,canine soft tissue sarcoma/tm_score/K=50,-0.05,-0.05,True,bar height
fig2 cell25,human breast cancer/chromatin_od/K=10,0.0,0.0,True,bar height
fig2 cell25,human breast cancer/chromatin_od/K=20,0.0,0.0,True,bar height
fig2 cell25,human breast cancer/chromatin_od/K=30,-0.0167,-0.0167,True,bar height
fig2 cell25,human breast cancer/chromatin_od/K=50,-0.02,-0.02,True,bar height
fig2 cell25,human breast cancer/od_contrast/K=10,0.05,0.05,True,bar height
fig2 cell25,human breast cancer/od_contrast/K=20,0.025,0.025,True,bar height
fig2 cell25,human breast cancer/od_contrast/K=30,-0.0166,-0.0166,True,bar height
fig2 cell25,human breast cancer/od_contrast/K=50,-0.02,-0.02,True,bar height
fig2 cell25,human breast cancer/tm_score/K=10,0.05,0.05,True,bar height
fig2 cell25,human breast cancer/tm_score/K=20,-0.025,-0.025,True,bar height
fig2 cell25,human breast cancer/tm_score/K=30,-0.0166,-0.0166,True,bar height
fig2 cell25,human breast cancer/tm_score/K=50,-0.01,-0.01,True,bar height
fig2 cell25,human melanoma/chromatin_od/K=10,0.0,0.0,True,bar height
fig2 cell25,human melanoma/chromatin_od/K=20,0.025,0.025,True,bar height
fig2 cell25,human melanoma/chromatin_od/K=30,0.0166,0.0166,True,bar height
fig2 cell25,human melanoma/chromatin_od/K=50,0.0,0.0,True,bar height
fig2 cell25,human melanoma/od_contrast/K=10,0.05,0.05,True,bar height
fig2 cell25,human melanoma/od_contrast/K=20,0.05,0.05,True,bar height
fig2 cell25,human melanoma/od_contrast/K=30,0.0166,0.0166,True,bar height
fig2 cell25,human melanoma/od_contrast/K=50,0.01,0.01,True,bar height
fig2 cell25,human melanoma/tm_score/K=10,-0.1,-0.1,True,bar height
fig2 cell25,human melanoma/tm_score/K=20,-0.025,-0.025,True,bar height
fig2 cell25,human melanoma/tm_score/K=30,0.0,0.0,True,bar height
fig2 cell25,human melanoma/tm_score/K=50,0.02,0.02,True,bar height
fig2 cell25,human neuroendocrine tumor/chromatin_od/K=10,-0.05,-0.05,True,bar height
fig2 cell25,human neuroendocrine tumor/chromatin_od/K=20,-0.1,-0.1,True,bar height
fig2 cell25,human neuroendocrine tumor/chromatin_od/K=30,-0.0666,-0.0666,True,bar height
fig2 cell25,human neuroendocrine tumor/chromatin_od/K=50,-0.02,-0.02,True,bar height
fig2 cell25,human neuroendocrine tumor/od_contrast/K=10,0.0,0.0,True,bar height
fig2 cell25,human neuroendocrine tumor/od_contrast/K=20,-0.025,-0.025,True,bar height
fig2 cell25,human neuroendocrine tumor/od_contrast/K=30,-0.0333,-0.0333,True,bar height
fig2 cell25,human neuroendocrine tumor/od_contrast/K=50,-0.06,-0.06,True,bar height
fig2 cell25,human neuroendocrine tumor/tm_score/K=10,-0.1,-0.1,True,bar height
fig2 cell25,human neuroendocrine tumor/tm_score/K=20,-0.1,-0.1,True,bar height
fig2 cell25,human neuroendocrine tumor/tm_score/K=30,-0.0834,-0.0834,True,bar height
fig2 cell25,human neuroendocrine tumor/tm_score/K=50,-0.05,-0.05,True,bar height
fig3 cell26,tm_score/K=10 stack total,14,14,True,"stack must sum to the 14 ROIs; ylim is (0, 15)"
fig3 cell26,tm_score/K=10 wins,5,5,True,
fig3 cell26,tm_score/K=10 losses,6,6,True,
fig3 cell26,tm_score/K=10 ties,3,3,True,
fig3 cell26,tm_score/K=20 stack total,14,14,True,"stack must sum to the 14 ROIs; ylim is (0, 15)"
fig3 cell26,tm_score/K=20 wins,2,2,True,
fig3 cell26,tm_score/K=20 losses,8,8,True,
fig3 cell26,tm_score/K=20 ties,4,4,True,
fig3 cell26,tm_score/K=30 stack total,14,14,True,"stack must sum to the 14 ROIs; ylim is (0, 15)"
fig3 cell26,tm_score/K=30 wins,3,3,True,
fig3 cell26,tm_score/K=30 losses,9,9,True,
fig3 cell26,tm_score/K=30 ties,2,2,True,
fig3 cell26,tm_score/K=50 stack total,14,14,True,"stack must sum to the 14 ROIs; ylim is (0, 15)"
fig3 cell26,tm_score/K=50 wins,3,3,True,
fig3 cell26,tm_score/K=50 losses,9,9,True,
fig3 cell26,tm_score/K=50 ties,2,2,True,
fig3 cell26,chromatin_od/K=10 stack total,14,14,True,"stack must sum to the 14 ROIs; ylim is (0, 15)"
fig3 cell26,chromatin_od/K=10 wins,0,0,True,
fig3 cell26,chromatin_od/K=10 losses,3,3,True,
fig3 cell26,chromatin_od/K=10 ties,11,11,True,
fig3 cell26,chromatin_od/K=20 stack total,14,14,True,"stack must sum to the 14 ROIs; ylim is (0, 15)"
fig3 cell26,chromatin_od/K=20 wins,3,3,True,
fig3 cell26,chromatin_od/K=20 losses,9,9,True,
fig3 cell26,chromatin_od/K=20 ties,2,2,True,
fig3 cell26,chromatin_od/K=30 stack total,14,14,True,"stack must sum to the 14 ROIs; ylim is (0, 15)"
fig3 cell26,chromatin_od/K=30 wins,3,3,True,
fig3 cell26,chromatin_od/K=30 losses,7,7,True,
fig3 cell26,chromatin_od/K=30 ties,4,4,True,
fig3 cell26,chromatin_od/K=50 stack total,14,14,True,"stack must sum to the 14 ROIs; ylim is (0, 15)"
fig3 cell26,chromatin_od/K=50 wins,4,4,True,
fig3 cell26,chromatin_od/K=50 losses,9,9,True,
fig3 cell26,chromatin_od/K=50 ties,1,1,True,
fig3 cell26,od_contrast/K=10 stack total,14,14,True,"stack must sum to the 14 ROIs; ylim is (0, 15)"
fig3 cell26,od_contrast/K=10 wins,2,2,True,
fig3 cell26,od_contrast/K=10 losses,3,3,True,
fig3 cell26,od_contrast/K=10 ties,9,9,True,
fig3 cell26,od_contrast/K=20 stack total,14,14,True,"stack must sum to the 14 ROIs; ylim is (0, 15)"
fig3 cell26,od_contrast/K=20 wins,5,5,True,
fig3 cell26,od_contrast/K=20 losses,7,7,True,
fig3 cell26,od_contrast/K=20 ties,2,2,True,
fig3 cell26,od_contrast/K=30 stack total,14,14,True,"stack must sum to the 14 ROIs; ylim is (0, 15)"
fig3 cell26,od_contrast/K=30 wins,4,4,True,
fig3 cell26,od_contrast/K=30 losses,9,9,True,
fig3 cell26,od_contrast/K=30 ties,1,1,True,
fig3 cell26,od_contrast/K=50 stack total,14,14,True,"stack must sum to the 14 ROIs; ylim is (0, 15)"
fig3 cell26,od_contrast/K=50 wins,4,4,True,
fig3 cell26,od_contrast/K=50 losses,7,7,True,
fig3 cell26,od_contrast/K=50 ties,3,3,True,
